Id,Start time,Completion time,I love,Age Band,Loving Marmite,DMA motivation,Optimistic about future,Favourite movie,Today I am feeling,Way to relax,Hours of sleep,Number of sweets,Duration
66,2025-02-24 13:48:44,2025-02-24 13:53:14,Dog,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,None of the above,Happy,Gaming,2.780634833852779,100.0,0 days 00:04:30
67,2025-02-24 13:49:51,2025-02-24 13:53:24,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,None of the above,Confused,Pub with friends,0.6711877185161883,8.0,0 days 00:03:33
68,2025-02-24 13:49:07,2025-02-24 13:53:24,Neither,18 to 24,Never tried it,Increase knowledge of subject area,Neutral,The Shawshank Redemption,Tired,Long walk,-1.4382593968204025,100.0,0 days 00:04:17
69,2025-02-24 13:52:00,2025-02-24 13:54:18,Both,25 to 30,Don't know what it is,Increase knowledge of subject area,Disagree,Toy Story,Happy,Pub with friends,0.6711877185161883,7.0,0 days 00:02:18
70,2025-02-24 13:49:59,2025-02-24 13:54:39,Both,18 to 24,No,Improve job opportunities,Neutral,Toy Story,Happy,Bath and Bed,0.6711877185161883,12.0,0 days 00:04:40
71,2025-02-24 13:48:54,2025-02-24 13:54:43,Dog,18 to 24,Don't know what it is,Increase knowledge of subject area,Disagree,None of the above,Tired,Gaming,-1.4382593968204025,100.0,0 days 00:05:49
72,2025-02-24 13:49:50,2025-02-24 13:54:48,Cat,25 to 30,Don't know what it is,Increase knowledge of subject area,Neutral,None of the above,Happy,Bath and Bed,-0.38353583915210704,200.0,0 days 00:04:58
73,2025-02-24 13:50:02,2025-02-24 13:55:23,Cat,18 to 24,Don't know what it is,Improve job opportunities,Strongly Agree,None of the above,Happy,Long walk,0.6711877185161883,80.0,0 days 00:05:21
74,2025-02-24 13:49:49,2025-02-24 13:55:23,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Strongly Agree,The Shawshank Redemption,Excited,Bath and Bed,0.6711877185161883,85.0,0 days 00:05:34
75,2025-02-24 13:48:52,2025-02-24 13:56:00,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,None of the above,Tired,Bath and Bed,-0.38353583915210704,17.0,0 days 00:07:08
76,2025-02-24 13:49:11,2025-02-24 13:58:33,Cat,18 to 24,Don't know what it is,Improve job opportunities,Agree,Star Wars (1977),Anxious,Gaming,-0.38353583915210704,100.0,0 days 00:09:22
77,2025-02-24 13:50:00,2025-02-24 14:00:08,Dog,25 to 30,Don't know what it is,Just curious,Neutral,Toy Story,Tired,Gaming,0.1438259396820406,20.0,0 days 00:10:08
